publication_id	pmid	compound_id	compound  chebi_id
68	19371448	86	Lycopene	15948
68	19371448	838	Lutein/Zeaxanthin	
68	19371448	135	Retinol	17336
68	19371448	871	Vitamin E (alpha-Tocopherol Equivalents)	
68	19371448	315	Energy	
68	19371448	237	alpha-Tocopherol	18145
68	19371448	238	gamma-Tocopherol	18185
68	19371448	239	Cholesterol	16113
69	19735348	248	Sodium	29101
69	19735348	108	Potassium	29103
69	19735348	106	Proteins	
69	19735348	249	Urea	16199
70	19248870	89	beta-Carotene	17579
70	19248870	83	alpha-Carotene	28425
70	19248870	84	beta-Cryptoxanthin	10362
70	19248870	838	Lutein/Zeaxanthin	
70	19248870	86	Lycopene	15948
70	19248870	135	Retinol	17336
70	19248870	237	alpha-Tocopherol	18145
70	19248870	134	Vitamin C	
70	19248870	236	Ascorbic acid	29073
71	19602831	83	alpha-Carotene	28425
71	19602831	89	beta-Carotene	17579
71	19602831	84	beta-Cryptoxanthin	10362
71	19602831	237	alpha-Tocopherol	18145
71	19602831	238	gamma-Tocopherol	18185
71	19602831	183	EPA (cis-20:5n-3)	28364
71	19602831	215	DPA (cis-22:5n-3)	53488
71	19602831	184	DHA (cis-22:6n-3)	28125
71	19602831	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
71	19602831	87	Carotenoids	
71	19602831	315	Energy	
71	19602831	451	Fatty acids	
71	19602831	86	Lycopene	15948
71	19602831	838	Lutein/Zeaxanthin	
72	18997681	89	beta-Carotene	17579
72	18997681	83	alpha-Carotene	28425
72	18997681	84	beta-Cryptoxanthin	10362
72	18997681	86	Lycopene	15948
72	18997681	838	Lutein/Zeaxanthin	
72	18997681	88	Lutein	28838
73	18053294	83	alpha-Carotene	28425
73	18053294	89	beta-Carotene	17579
73	18053294	84	beta-Cryptoxanthin	10362
73	18053294	838	Lutein/Zeaxanthin	
73	18053294	86	Lycopene	15948
74	21272408	83	alpha-Carotene	28425
74	21272408	89	beta-Carotene	17579
74	21272408	84	beta-Cryptoxanthin	10362
74	21272408	88	Lutein	28838
74	21272408	86	Lycopene	15948
74	21272408	85	Zeaxanthin	27547
74	21272408	87	Carotenoids	
74	21272408	260	Carotenes	
74	21272408	46	Apigenin	18388
74	21272408	121	Eriodictyol	28412
74	21272408	22	Hesperetin	28230
74	21272408	20	Kaempferol	28499
74	21272408	21	Naringenin	17846
74	21272408	78	Phloretin	17276
74	21272408	2	Quercetin	16243
74	21272408	843	Tamarixetin/Isorhamnetin	
74	21272408	49	Flavonoids	
75	19144238	262	Myristic acid (14:0)	28875
75	19144238	263	Pentadecylic acid (15:0)	42504
75	19144238	242	Palmitic acid (16:0)	15756
75	19144238	264	Margaric acid (17:0)	32365
75	19144238	217	Linoleic acid (LA; cis-18:2n-6)	17351
75	19144238	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
75	19144238	183	EPA (cis-20:5n-3)	28364
75	19144238	184	DHA (cis-22:6n-3)	28125
75	19144238	267	Fats	
75	19144238	451	Fatty acids	
76	22493748	267	Fats	
76	22493748	268	Proteins from Soy foods	
76	22493748	5	Isoflavones	
76	22493748	315	Energy	
76	22493748	4	Daidzein	28197
76	22493748	3	Genistein	28088
76	22493748	15	Glycitein	34778
76	22493748	17	O-Desmethylangolensin	88902
76	22493748	18	Dihydrodaidzein	75842
76	22493748	19	Dihydrogenistein	34707
76	22493748	10	Equol	34741
76	22493748	30	Enterodiol	81556
76	22493748	31	Enterolactone	81555
77	19587090	83	alpha-Carotene	28425
77	19587090	260	Carotenes	
77	19587090	89	beta-Carotene	17579
77	19587090	272	13-cis-beta-Carotene	
77	19587090	273	9-cis-beta-Carotene	67188
77	19587090	84	beta-Cryptoxanthin	10362
77	19587090	1525	Lycopenes	
77	19587090	86	Lycopene	15948
77	19587090	276	15-cis-Lycopene	
77	19587090	277	13-cis-Lycopene	
77	19587090	278	9-cis-Lycopene	
77	19587090	279	5-cis-Lycopene	
77	19587090	838	Lutein/Zeaxanthin	
77	19587090	87	Carotenoids	
